가맹점_구분번호,기준년월,가맹점_운영개월_수_구간,매출금액_구간,매출건수_구간,유니크_고객_수_구간,객단가_구간,취소율_구간,배달매출금액_비율,동일_업종_매출금액_비율,동일_업종_매출건수_비율,동일_업종_내_매출_순위_비율,동일_상권_내_매출_순위_비율,동일_업종_내_해지_가맹점_비중,동일_상권_내_해지_가맹점_비중,가맹점_주소,가맹점명,브랜드구분코드,가맹점_지역,업종,상권,개설일,폐업일,위도,경도,상권_지리,상권유형_지리,행정동,남성_20대이하_고객_비중,남성_30대_고객_비중,남성_40대_고객_비중,남성_50대_고객_비중,남성_60대이상_고객_비중,여성_20대이하_고객_비중,여성_30대_고객_비중,여성_40대_고객_비중,여성_50대_고객_비중,여성_60대이상_고객_비중,재방문_고객_비중,신규_고객_비중,거주_이용_고객_비중,직장_이용_고객_비중,유동인구_이용_고객_비중,개인사업자여부,폐업여부,단골손님_비중,신규손님_비중,배달매출_비중,거주고객_비중,직장고객_비중,유동인구고객_비중,핵심고객_1순위,핵심고객_2순위,핵심고객_3순위,핵심고객_1순위_비중,핵심고객_2순위_비중,핵심고객_3순위_비중,평가기준년월,영업_경과_개월,배달매출비중_차이_pp,단골비중_차이_pp,신규비중_차이_pp,배달비중_백분위,단골비중_백분위,신규비중_백분위,업종매출_편차,업종매출지수_백분위,업종건수_편차,업종건수지수_백분위,단골비중_3개월_추세_pp_per_m,단골비중_3개월_순증감_pp,배달비중_3개월_추세_pp_per_m,배달비중_3개월_순증감_pp,신규비중_3개월_추세_pp_per_m,신규비중_3개월_순증감_pp,분기코드,단골비중_YoY_pp,신규비중_YoY_pp,배달비중_YoY_pp,총_상주인구_수,총_직장_인구_수,총_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,이동성_적합도,연령대_적합도,매핑용_행정동
761947ABD9,202412,2_10-25%,1_10%이하,3_25-50%,3_25-50%,1_10%이하,6_상위6구간(하위1구간),23.700130276185515,476.8,90.4,3.5,4.4,16.2,5.6,서울 성동구 마장동,호남*,개인사업자,서울 성동구,한식-육류/고기,마장동,20130531,,37.5669747,127.040228,마장지하차도,골목상권,서울특별시 성동구 마장동,5.9964,13.807499999999996,16.647899999999996,23.8278,18.6204,1.6035999999999997,3.6925,4.452099999999999,6.372199999999999,4.979599999999999,15.32,7.66,4.7952047952047945,2.397602397602397,92.8071928071928,1,0,0.1532,0.0766,0.23700130276185516,0.047952047952047945,0.02397602397602397,0.9280719280719281,남성_50대,남성_60대이상,남성_40대,0.238278,0.186204,0.16647899999999996,202412,140,6.77146579319586,-8.499999999999996,0.008571428571428619,71.42857142857143,42.857142857142854,57.14285714285714,376.8,100.0,-9.599999999999994,57.14285714285714,1.2700000000000002,2.5400000000000005,0.0,0.0,1.5599999999999998,3.1199999999999997,20244,3.4533333333333345,-0.5866666666666659,0.0,268,362,175600,20228,30522,28797,28890,29455,37707,0.9316468018164664,0.7869892425355498,마장동
145BA84596,202412,2_10-25%,4_50-75%,3_25-50%,3_25-50%,5_75-90%,1_상위1구간,19.679861111111112,35.2,142.9,44.8,56.8,16.2,11.3,서울 성동구 사근동,고향***,개인사업자,서울 성동구,한식-찌개/전골,한양대,20140618,,37.5595968,127.0449623,사근동살곶이상점가,골목상권,서울특별시 성동구 사근동,26.8713,9.5922,6.8985,17.1477,5.1903,14.0287,5.0078,3.6015,8.9523,2.7097,39.53,7.49,37.7,15.9,46.4,1,0,0.3953,0.07490000000000001,0.19679861111111113,0.377,0.159,0.46399999999999997,남성_20대이하,남성_50대,여성_20대이하,0.26871300000000004,0.171477,0.140287,202412,127,2.8199074074074097,7.453333333333329,0.470000000000001,66.66666666666666,100.0,100.0,-64.8,33.33333333333333,42.900000000000006,66.66666666666666,1.799999999999999,3.599999999999998,0.0,0.0,-0.02499999999999933,-0.04999999999999866,20244,0.14999999999999458,0.6033333333333322,0.0,4259,76,1044470,159027,485911,100304,85416,79677,134135,0.46813327548972405,0.7420972933640986,사근동
27C88660A5,202412,2_10-25%,4_50-75%,3_25-50%,3_25-50%,4_50-75%,1_상위1구간,24.997669172932333,31.4,64.3,47.4,0.0,17.4,8.530162163244288,서울 성동구 송정동,북*,개인사업자,서울 성동구,중식당,,20141217,,37.5525301,127.064491,송정체육공원,골목상권,서울특별시 성동구 용답동,8.3484,16.0011,16.6968,21.0256,15.2281,2.4516,4.6989,4.9032,6.1744,4.4719,32.28,6.56,21.3,40.4,38.3,1,0,0.32280000000000003,0.06559999999999999,0.24997669172932332,0.213,0.40399999999999997,0.38299999999999995,남성_50대,남성_40대,남성_30대,0.210256,0.166968,0.16001100000000001,202412,121,0.0,0.0,0.0,100.0,100.0,100.0,-68.6,100.0,-35.7,100.0,-0.13499999999999623,-0.26999999999999247,0.0,0.0,-1.2750000000000004,-2.5500000000000007,20244,-2.0666666666666664,0.6833333333333345,0.0,3168,194,1035532,88799,236321,188098,164750,142590,214973,0.3862361338115341,0.7834385981684759,용답동
BE3EAEA415,202412,2_10-25%,5_75-90%,4_50-75%,4_50-75%,4_50-75%,1_상위1구간,0.0,24.5,14.2,55.2,52.0,16.7,7.7,서울 성동구 용답동,별난**,개인사업자,서울 성동구,한식-국수/만두,답십리,20140107,,37.561467,127.056358,서울교통공사,골목상권,서울특별시 성동구 용답동,5.1113,6.2759,10.6108,28.2092,14.4928,2.7887,3.4241,5.7892,15.3908,7.9072,28.8,4.0,22.222222222222214,33.33333333333333,44.44444444444444,1,0,0.28800000000000003,0.04,0.0,0.22222222222222215,0.33333333333333326,0.4444444444444444,남성_50대,여성_50대,남성_60대이상,0.282092,0.15390800000000002,0.144928,202412,132,-5.914627151051625,6.1750000000000025,-1.065,50.0,100.0,50.0,-75.5,100.0,-85.8,50.0,0.6900000000000017,1.3800000000000034,0.0,0.0,-0.8250000000000001,-1.6500000000000001,20244,1.6966666666666685,0.6766666666666671,0.0,1772,739,393857,24667,79163,79283,55563,71701,83482,0.4507794664442023,0.7110798128264175,용답동
E606947836,202412,2_10-25%,5_75-90%,5_75-90%,5_75-90%,4_50-75%,1_상위1구간,24.997669172932333,2.6,6.2,87.4,71.4,17.4,9.4,서울 성동구 홍익동,정*,개인사업자,서울 성동구,중식당,왕십리,20150918,,37.56649060000001,127.0323483,상왕십리역 3번,골목상권,서울특별시 성동구 왕십리도선동,6.277122877122876,6.277122877122876,11.0025974025974,21.934665334665333,25.108491508491504,2.6139860139860134,2.6139860139860134,4.581818181818181,9.134265734265732,10.455944055944054,12.2,9.76,50.0,0.0,50.0,1,0,0.122,0.09759999999999999,0.24997669172932332,0.5,0.0,0.5,남성_60대이상,남성_50대,남성_40대,0.25108491508491504,0.21934665334665332,0.110025974025974,202412,112,0.0,-13.224999999999998,1.6799999999999995,75.0,50.0,100.0,-97.4,50.0,-93.8,50.0,0.6949999999999998,1.3899999999999997,0.0,0.0,-1.8750000000000002,-3.7500000000000004,20244,-2.9800000000000035,5.029999999999999,0.0,2074,685,741747,97113,139964,129885,105214,122362,147211,0.5027857398059922,0.6830968731706044,왕십리도선동
E863289A7D,202412,2_10-25%,4_50-75%,3_25-50%,4_50-75%,5_75-90%,5_상위5구간,31.681818181818183,26.2,112.2,50.0,0.0,16.2,9.576129032258065,서울 성동구 홍익동,조은**,개인사업자,서울 성동구,한식-단품요리일반,,20150116,,37.56649060000001,127.0323483,상왕십리역 3번,골목상권,서울특별시 성동구 왕십리도선동,6.844555444555444,16.39090909090909,13.208791208791208,13.929270729270728,9.726473526473526,4.544055944055944,10.88181818181818,8.769230769230768,9.247552447552447,6.457342657342656,40.65,8.54,27.8,27.8,44.4,1,0,0.4065,0.08539999999999999,0.31681818181818183,0.278,0.278,0.444,남성_30대,남성_50대,남성_40대,0.1639090909090909,0.1392927072927073,0.13208791208791207,202412,120,-31.228787878787884,21.826666666666664,-12.095000000000002,41.66666666666667,100.0,83.33333333333334,-73.8,75.0,12.200000000000003,91.66666666666666,0.04499999999999782,0.08999999999999564,0.0,0.0,1.0549999999999997,2.1099999999999994,20244,-3.2200000000000006,-0.5900000000000016,0.0,2074,685,741747,97113,139964,129885,105214,122362,147211,0.44770581298203105,0.7576406652306991,왕십리도선동
2344622681,202412,2_10-25%,3_25-50%,3_25-50%,3_25-50%,3_25-50%,1_상위1구간,24.61434782608696,77.1,112.2,25.1,28.4,16.2,9.4,서울  성동구  도선동,광한******,개인사업자,서울 성동구,한식-해물/생선,왕십리,20110502,,37.5666113,127.0299063,상왕십리역 3번,골목상권,서울특별시 성동구 왕십리도선동,4.588,18.796,25.234,15.91,9.472,1.612,6.604,8.866,5.59,3.328,36.14,4.77,3.9,0.0,96.1,1,0,0.3614,0.04769999999999999,0.2461434782608696,0.039,0.0,0.961,남성_40대,남성_30대,남성_50대,0.25234,0.18796,0.1591,202412,164,8.204782608695654,3.9700000000000015,-0.9000000000000008,83.33333333333334,100.0,33.33333333333333,-22.900000000000006,66.66666666666666,12.200000000000003,66.66666666666666,-1.2800000000000007,-2.5600000000000014,0.0,0.0,-1.1950000000000003,-2.3900000000000006,20244,-4.043333333333332,0.5799999999999985,0.0,2074,685,741747,97113,139964,129885,105214,122362,147211,0.9637857398059921,0.6719163895064233,왕십리도선동
3E35A71757,202412,1_10%이하,5_75-90%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,87.1,36.8,44.1,62.8,0.0,18.0,6.860119047619048,서울  성동구  마장동,멕시*****,치킨19,서울 성동구,치킨,,20050830,,37.5669747,127.040228,마장지하차도,골목상권,서울특별시 성동구 마장동,3.511888111888112,9.885314685314686,22.046853146853145,10.470629370629371,19.185314685314687,1.882717282717283,5.2995004995005,11.81928071928072,5.613286713286714,10.285214785214784,27.4,8.22,91.7,8.3,0.0,0,0,0.27399999999999997,0.08220000000000001,0.871,0.917,0.083,0.0,남성_40대,남성_60대이상,여성_40대,0.22046853146853146,0.19185314685314686,0.1181928071928072,202412,233,0.0,0.0,0.0,100.0,100.0,100.0,-63.2,100.0,-55.9,100.0,-1.090000000000002,-2.180000000000004,2.500000000000002,5.000000000000004,2.7,5.4,20244,-8.383333333333336,-0.7600000000000002,0.30000000000000027,268,362,175600,20228,30522,28797,28890,29455,37707,0.003574873744538354,0.7458895127389822,마장동
5017C6924A,202412,2_10-25%,2_10-25%,3_25-50%,3_25-50%,2_10-25%,6_상위6구간(하위1구간),40.0,409.3,226.6,3.3,0.0,19.6,6.860119047619048,서울  성동구  마장동,도미********,피자2,서울 성동구,피자,,20100723,,37.5669747,127.040228,마장지하차도,골목상권,서울특별시 성동구 마장동,6.344255744255745,8.87072927072927,12.407792207792207,18.246753246753247,10.33046953046953,4.944455544455544,6.9134865134865136,9.670129870129871,14.22077922077922,8.051148851148852,23.79,9.93,70.39999999999999,7.399999999999999,22.2,0,0,0.2379,0.0993,0.4,0.704,0.07399999999999998,0.222,남성_50대,여성_50대,남성_40대,0.18246753246753247,0.1422077922077922,0.12407792207792206,202412,174,0.0,0.0,0.0,100.0,100.0,100.0,309.3,100.0,126.6,100.0,-0.7200000000000012,-1.4400000000000024,-8.899999999999997,-17.799999999999994,2.325,4.65,20244,-0.31999999999999806,0.47999999999999987,11.033333333333333,268,362,175600,20228,30522,28797,28890,29455,37707,0.22557487374453844,0.786808166747688,마장동
1400634946,202412,1_10%이하,3_25-50%,3_25-50%,4_50-75%,3_25-50%,1_상위1구간,17.7,68.8,90.2,30.1,0.0,17.4,6.860119047619048,서울  성동구  마장동,한일**,개인사업자,서울 성동구,중식당,,20040728,,37.5669747,127.040228,마장지하차도,골목상권,서울특별시 성동구 마장동,5.3428,10.6856,22.5663,16.6611,15.0442,2.2572,4.5144,9.5337,7.0389,6.3558,43.63,4.25,57.1,16.7,26.2,1,0,0.4363,0.0425,0.177,0.5710000000000001,0.16699999999999998,0.262,남성_40대,남성_50대,남성_60대이상,0.22566299999999997,0.166611,0.150442,202412,246,-3.6488345864661653,7.600000000000001,-1.2599999999999993,50.0,100.0,50.0,-31.200000000000003,50.0,-9.799999999999997,50.0,1.1399999999999992,2.2799999999999985,-2.2000000000000006,-4.400000000000001,-0.8849999999999997,-1.7699999999999994,20244,1.9799999999999984,-0.6899999999999996,6.133333333333335,268,362,175600,20228,30522,28797,28890,29455,37707,0.26557487374453836,0.7742627122022335,마장동
